City_ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,harper,4.375,-7.7169,79.11,65,98,7.63,LR,1703275068
1,puerto natales,-51.7236,-72.4875,54.05,47,0,19.57,CL,1703275069
2,yellowknife,62.456,-114.3525,13.41,90,100,8.05,CA,1703275071
3,thunder bay,48.4001,-89.3168,37.38,100,100,1.14,CA,1703274854
4,adamstown,-25.066,-130.1015,72.72,91,100,17.67,PN,1703275074
5,bikenibeu village,1.3673,173.1241,80.56,89,75,2.3,KI,1703275076
6,port-aux-francais,-49.35,70.2167,39.52,74,65,32.12,TF,1703275077
7,grytviken,-54.2811,-36.5092,36.25,68,12,11.21,GS,1703275078
8,nadym,65.5333,72.5167,13.8,96,100,6.15,RU,1703275080
9,vadso,70.0744,29.7487,17.76,79,40,9.22,NO,1703275081
10,waitangi,-43.9535,-176.5597,57.81,81,100,5.03,NZ,1703275082
11,polyarnyy,69.1989,33.4478,5.58,100,86,10.31,RU,1703275084
12,blackmans bay,-43.0167,147.3167,50.13,91,22,1.95,AU,1703275085
13,kodiak,57.79,-152.4072,26.11,100,100,6.91,US,1703275086
14,susuman,62.7833,148.1667,-40.25,100,100,0.67,RU,1703275088
15,bredasdorp,-34.5322,20.0403,68.13,86,15,7.27,ZA,1703275089
16,heihe,50.2441,127.4902,-16.02,100,25,1.61,CN,1703275090
17,ushuaia,-54.8,-68.3,58.62,61,75,27.63,AR,1703275009
18,lompoc,34.6391,-120.4579,69.53,66,40,5.01,US,1703275093
19,murun-kuren,49.6342,100.1625,-7.8,92,23,3.94,MN,1703275094
20,tari,12.4086,4.4914,77.0,22,5,10.56,NG,1703275096
21,nova sintra,14.8667,-24.7167,69.42,64,15,17.07,CV,1703275097
22,ntchisi,-13.5278,33.9149,63.91,88,91,2.06,MW,1703275098
23,north bend,43.4065,-124.2243,50.16,93,75,5.75,US,1703275087
24,bilibino,68.0546,166.4372,-22.7,98,99,0.85,RU,1703275102
25,hawaiian paradise park,19.5933,-154.9731,73.04,96,100,0.0,US,1703275103
26,igarka,67.4667,86.5833,9.77,97,98,6.87,RU,1703275105
27,papatowai,-46.5619,169.4708,55.92,91,100,5.66,NZ,1703275106
28,betio village,1.358,172.9211,80.64,78,71,9.37,KI,1703275107
29,petropavlovsk-kamchatsky,53.0452,158.6483,-7.01,59,20,6.71,RU,1703275109
30,madinat ash shamal,26.1293,51.2009,68.23,58,100,10.98,QA,1703275110
31,iqaluit,63.7506,-68.5145,13.73,78,100,28.77,CA,1703275111
32,bethel,41.3712,-73.414,37.89,41,0,4.61,US,1703275113
33,santa luzia,-19.7697,-43.8514,82.78,67,40,9.22,BR,1703275114
34,edinburgh of the seven seas,-37.0676,-12.3116,59.52,69,67,10.07,SH,1703275115
35,jamestown,42.097,-79.2353,41.02,66,100,3.44,US,1703274984
36,kachkanar,58.7,59.4948,30.13,91,100,6.85,RU,1703275118
37,stanley,54.868,-1.6985,45.79,84,0,18.41,GB,1703275119
38,kuala belait,4.5833,114.1833,77.16,90,100,2.89,BN,1703275120
39,oamaru,-45.0784,170.9801,60.39,93,100,5.39,NZ,1703274883
40,dedovichi,57.5517,29.9502,32.92,95,100,9.86,RU,1703275123
41,tura,25.5198,90.2201,61.36,76,100,3.24,IN,1703275121
42,kokshetau,53.2775,69.3883,23.38,95,62,5.75,KZ,1703275125
43,adam,22.3756,57.5233,65.01,42,0,2.51,OM,1703275127
44,majene,-3.5403,118.9707,77.18,82,100,4.16,ID,1703275128
45,nagqu,31.5,92.0,-13.45,84,32,3.13,CN,1703275129
46,hamilton,39.1834,-84.5333,54.25,44,100,8.05,US,1703274880
47,kampene,-3.6,26.6667,69.06,97,94,1.23,CD,1703275132
48,port elizabeth,-33.918,25.5701,72.32,88,0,15.99,ZA,1703275133
49,vilyuysk,63.7553,121.6247,-31.0,100,95,1.99,RU,1703275134
50,hermanus,-34.4187,19.2345,69.8,89,64,9.31,ZA,1703275136
51,port lincoln,-34.7333,135.8667,58.66,83,100,8.34,AU,1703275000
52,las heras,-46.5419,-68.9359,73.15,14,8,23.02,AR,1703275138
53,hedaru,-4.5,37.9,74.17,86,71,5.14,TZ,1703275139
54,west island,-12.1568,96.8225,75.18,94,40,14.97,CC,1703275141
55,novoagansk,61.9449,76.6625,32.72,99,100,8.88,RU,1703275142
56,kapa'a,22.0752,-159.319,75.18,86,75,16.11,US,1703275143
57,st. john's,47.5649,-52.7093,35.98,97,75,11.5,CA,1703274961
58,kolokani,13.5728,-8.0339,71.58,15,39,8.34,ML,1703275147
59,plast,54.3691,60.8136,23.47,93,93,6.13,RU,1703275150
60,grand falls-windsor,48.9332,-55.6649,27.5,94,100,8.99,CA,1703275151
61,forres,57.6113,-3.6108,38.77,93,75,12.66,GB,1703275152
62,ulsteinvik,62.3432,5.8487,31.75,71,9,5.99,NO,1703275154
63,vorgashor,67.5833,63.95,8.35,97,100,3.33,RU,1703275155
